,ls,nd,id1,id2
0,法甲,20,808039,808071
1,法乙,20,809429,809483
2,英超,20,806501,806519
32,英冠,20,0,0
3,西甲,20,830801,0
4,意甲,20,853822,0
5,德乙,20,825597,825627
6,德甲,20,824571,824687
7,芬超,20,795956,0
8,挪超,20,788508,0
9,联赛,20,0,0
10,日职,20,779376,779788
11,美职联,20,780198,780808
31,美职,20,780198,780808
12,日职乙,20,778452,779044
13,丹超,20,805215,805245
14,巴甲,20,800197,800473
16,葡超,20,837459,0
17,瑞士超,20,0,0
18,瑞典超,20,789008,789280
19,荷甲,20,0,0
20,俄超,20,805581,805661
23,J2联赛,20,0,0
24,J联赛,20,0,0
25,西乙,20,0,0
26,荷乙,20,810758,810936
27,欧洲杯,20,0,0
28,K1联赛,20,0,0